GEOID,Name,Median_Hhold._Income_of_Residents_in_2012-16,Population_Density_in_2010,Poverty_Rate_in_2012-16,Total Population,Population 18 and Older,Population Under 18,White Alone,Black Alone,Asian Alone,Other Race Alone,Multi-Race,Hispanic,"White Alone, Non-Hispanic",Total Minority Population,Total Housing Units,Occupied Housing Units,Vacant Housing Units
18097310105,"Indianapolis, IN",50403,1300,0.1053,3830,2985,845,1542,1583,107,298,300,435,1493,2337,1766,1709,57
18097310106,"Westchester Estates, Indianapolis, IN",36052,4399,0.0845,4161,3461,700,1574,1689,172,387,339,619,1496,2665,2429,2302,127
18097310108,"Indianapolis, IN",88879,1324,0.0423,3597,3081,516,2722,498,109,59,209,152,2700,897,1712,1627,85
18097310110,"Indianapolis, IN",49312,3947,0.0392,3125,2456,669,1086,1524,74,193,248,350,1033,2092,1623,1524,99
18097310111,"Eagle Cove, Indianapolis, IN",46780,3070,0.0949,3771,2999,772,1172,1920,69,297,313,514,1102,2669,1954,1810,144
18097310201,"Augusta Green, Indianapolis, IN",58327,1140,0.1027,4603,3454,1149,1424,2089,178,515,397,755,1368,3235,1838,1774,64
18097310203,"Fieldstone and Brookstone, Indianapolis, IN",41486,3732,0.262,5939,4287,1652,1720,2738,114,793,574,1299,1554,4385,2601,2468,133
18097310204,"Indianapolis, IN",56440,2471,0.1616,5281,3837,1444,965,3158,194,584,380,782,891,4390,1926,1876,50
18097310305,"Indianapolis, IN",33646,4535,0.2366,6588,4795,1793,952,3688,165,1249,534,1761,754,5834,2886,2676,210
18097310306,"Gateway West, Indianapolis, IN",28851,3054,0.3966,6924,4640,2284,724,4128,109,1340,623,1982,564,6360,2597,2461,136
18097310308,"Guion Lakes, Indianapolis, IN",54080,2666,0.1417,3679,2692,987,831,2179,114,293,262,495,752,2927,1378,1331,47
18097310309,"Indianapolis, IN",34946,4955,0.1776,3880,2822,1058,621,2610,89,295,265,414,562,3318,1824,1708,116
18097310310,"Liberty Creek North, Indianapolis, IN",54221,5427,0.0684,4550,3318,1232,1237,2252,133,509,419,758,1151,3399,1733,1682,51
18097310311,"Indianapolis, IN",64820,2801,0.054,5831,4228,1603,1455,3347,173,439,417,742,1341,4490,2039,1978,61
18097310312,"Indianapolis, IN",40736,4498,0.1662,6203,4722,1481,999,3759,170,851,424,1201,859,5344,3169,2914,255
18097320105,"Washington Township, Indianapolis, IN",52803,4236,0.1444,4528,3687,841,2576,1187,141,319,305,454,2525,2003,2367,2185,182
18097320106,"Washington Township, Indianapolis, IN",66289,2575,0.0674,2526,1885,641,1481,744,34,108,159,183,1454,1072,1135,1018,117
18097320107,"College Commons, Indianapolis, IN",85947,1489,0.0742,1808,1529,279,1487,153,45,37,86,84,1464,344,923,875,48
18097320108,"Washington Township, Indianapolis, IN",27280,5167,0.284,5546,4220,1326,1724,2753,155,510,404,793,1618,3928,2863,2585,278
